UTC YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs;MoonPhaseDeg;MoonElevDeg;MoonIllum%;SunElevDeg
2020-12-10T00:12:55.000;2020-12-09T17:12:55.000;13.5;4.92;14.05;0;-115.8;-36.638;28.3;-0.665;
2020-12-10T00:15:05.000;2020-12-09T17:15:05.000;13.8;4.92;12.43;1;-115.8;-37.015;28.3;-1.056;
2020-12-10T00:20:05.000;2020-12-09T17:20:05.000;12.8;4.94;13.10;1;-115.8;-37.878;28.2;-1.962;
2020-12-10T00:25:05.000;2020-12-09T17:25:05.000;10.9;4.94;13.98;1;-115.9;-38.732;28.2;-2.874;
2020-12-10T00:30:05.000;2020-12-09T17:30:05.000;9.3;4.94;15.06;1;-115.9;-39.576;28.1;-3.791;
2020-12-10T00:35:05.000;2020-12-09T17:35:05.000;8.0;4.94;16.24;1;-116.0;-40.409;28.1;-4.713;
2020-12-10T00:40:05.000;2020-12-09T17:40:05.000;6.7;4.94;17.34;1;-116.0;-41.231;28.1;-5.641;
2020-12-10T00:45:05.000;2020-12-09T17:45:05.000;5.8;4.94;18.46;1;-116.1;-42.042;28.0;-6.574;
2020-12-10T00:50:05.000;2020-12-09T17:50:05.000;4.8;4.94;19.62;1;-116.1;-42.840;28.0;-7.511;
2020-12-10T00:55:05.000;2020-12-09T17:55:05.000;4.1;4.94;20.78;1;-116.2;-43.626;28.0;-8.453;
2020-12-10T01:00:08.000;2020-12-09T18:00:08.000;3.5;4.94;21.92;1;-116.2;-44.405;27.9;-9.409;
2020-12-10T01:05:33.000;2020-12-09T18:05:33.000;3.2;4.94;23.05;1;-116.2;-45.224;27.9;-10.440;
2020-12-10T01:15:09.000;2020-12-09T18:15:09.000;2.2;4.94;21.33;1;-116.3;-46.631;27.8;-12.278;
2020-12-10T01:20:15.000;2020-12-09T18:20:15.000;1.6;4.94;21.99;1;-116.4;-47.354;27.8;-13.260;
2020-12-10T01:25:17.000;2020-12-09T18:25:17.000;1.2;4.94;22.44;1;-116.4;-48.049;27.7;-14.233;
2020-12-10T01:30:23.000;2020-12-09T18:30:23.000;0.9;4.94;22.75;1;-116.5;-48.733;27.7;-15.223;
2020-12-10T01:35:22.000;2020-12-09T18:35:22.000;0.6;4.94;22.77;1;-116.5;-49.383;27.7;-16.194;
2020-12-10T01:40:26.000;2020-12-09T18:40:26.000;0.3;4.94;22.85;1;-116.6;-50.022;27.6;-17.184;
2020-12-10T01:45:28.000;2020-12-09T18:45:28.000;-0.0;4.94;22.95;1;-116.6;-50.634;27.6;-18.171;
2020-12-10T01:50:30.000;2020-12-09T18:50:30.000;-0.4;4.94;23.00;1;-116.7;-51.224;27.6;-19.160;
2020-12-10T01:55:30.000;2020-12-09T18:55:30.000;-0.7;4.94;22.99;1;-116.7;-51.785;27.5;-20.147;
2020-12-10T02:00:18.000;2020-12-09T19:00:18.000;-1.0;4.94;22.45;1;-116.8;-52.301;27.5;-21.096;
2020-12-10T02:05:11.000;2020-12-09T19:05:11.000;-1.0;4.94;22.28;1;-116.8;-52.801;27.5;-22.065;
2020-12-10T02:10:25.000;2020-12-09T19:10:25.000;-1.0;4.94;22.89;1;-116.9;-53.308;27.4;-23.105;
2020-12-10T02:15:25.000;2020-12-09T19:15:25.000;-1.0;4.94;22.89;1;-116.9;-53.763;27.4;-24.102;
2020-12-10T02:20:27.000;2020-12-09T19:20:27.000;-1.0;4.94;22.93;1;-116.9;-54.192;27.3;-25.108;
2020-12-10T02:25:25.000;2020-12-09T19:25:25.000;-1.3;4.94;22.85;1;-117.0;-54.585;27.3;-26.102;
2020-12-10T02:30:20.000;2020-12-09T19:30:20.000;-1.3;4.94;22.63;1;-117.0;-54.943;27.3;-27.089;
2020-12-10T02:35:23.000;2020-12-09T19:35:23.000;-1.3;4.94;22.74;1;-117.1;-55.278;27.2;-28.104;
2020-12-10T02:40:28.000;2020-12-09T19:40:28.000;-1.3;4.94;22.96;1;-117.1;-55.582;27.2;-29.128;
2020-12-10T02:45:28.000;2020-12-09T19:45:28.000;-1.3;4.94;22.95;1;-117.2;-55.845;27.2;-30.136;
